행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
경기 고양시,중산2동,힐링,2,4.5,9.715,1.0986122886681098,3.9868464685002194,7.5571882992221875,4.116618336424438
인천 계양구,계산4동,액티비티,3,4.0,7.1066666666666665,1.3862943611198906,3.9398537795240185,7.2873221897354155,4.116610923598328
인천 서구,가좌1동,힐링,12,2.75,5.180833333333333,2.5649493574615367,3.457897645666813,6.462792199481458,4.11585752992668
경기 평택시,고덕면,액티비티,7,3.142857142857143,5.277142857142857,2.0794415416798357,3.709477174800176,6.746150639377749,4.11475809333619
인천 서구,청라2동,문화,4,3.25,6.477499999999999,1.6094379124341003,3.8062240622729266,7.164716635656533,4.113867621318685
경기 부천시,소사본동,힐링,4,3.75,5.9875,1.6094379124341003,3.897133153182018,7.075625726565624,4.113839169070732
경기 포천시,소흘읍,문화,2,5.0,9.09,1.0986122886681098,4.03684646850022,7.4946882992221875,4.11221523099372
서울 영등포구,신길1동,쇼핑,3,3.6666666666666665,7.333333333333333,1.3862943611198906,3.892234731904971,7.319703142116369,4.111983015840014
경기 성남시,구미동,문화,5,3.4,5.628,1.791759469228055,3.8146491030436693,6.950163738454075,4.111875185202686
경기 남양주시,진건읍,액티비티,7,2.857142857142857,5.522857142857142,2.0794415416798357,3.6294771748001757,6.8149506393777495,4.111663162109522
경기 성남시,복정동,문화,2,5.0,9.05,1.0986122886681098,4.03684646850022,7.490688299222187,4.110915243825025
경기 용인시,중산2동,음식,6,2.5,6.101666666666667,1.9459101490553132,3.5723720570835162,7.013490249351823,4.110371388910051
경기 안성시,원곡면,힐링,3,4.0,6.956666666666667,1.3862943611198906,3.9398537795240185,7.265893618306845,4.109646706623178
서울 중구,창신3동,액티비티,2,4.5,9.5,1.0986122886681098,3.9868464685002194,7.535688299222187,4.109630905392705
서울 광진구,구의2동,문화,5,2.8,6.18,1.791759469228055,3.6842143204349735,7.070163738454076,4.109372554837087
경기 여주시,북내면,문화,2,5.0,8.995,1.0986122886681098,4.03684646850022,7.485188299222187,4.10912776146807
서울 노원구,상계3·4동,문화,4,3.5,6.1525,1.6094379124341003,3.851678607727472,7.105625726565625,4.1091261691267285
경기 안산시,안산동,액티비티,3,3.6666666666666665,7.2700000000000005,1.3862943611198906,3.892234731904971,7.31065552306875,4.109042568672729
서울 강남구,청담동,액티비티,3,3.6666666666666665,7.266666666666667,1.3862943611198906,3.892234731904971,7.3101793325925595,4.108887808295503
경기 성남시,서둔동,음식,2,5.0,8.96,1.0986122886681098,4.03684646850022,7.481688299222188,4.107990272695463
경기 성남시,분당동,힐링,2,5.0,8.955,1.0986122886681098,4.03684646850022,7.481188299222187,4.107827774299375
경기 구리시,동구동,힐링,3,3.6666666666666665,7.239999999999999,1.3862943611198906,3.892234731904971,7.306369808783035,4.107649725277698
서울 노원구,공릉2동,액티비티,8,3.0,5.1625000000000005,2.1972245773362196,3.6437280526924765,6.654375614786298,4.106038457281601
서울 서초구,내곡동,문화,2,5.0,8.895,1.0986122886681098,4.03684646850022,7.475188299222187,4.105877793546333
경기 용인시,동백2동,문화,8,3.25,4.9037500000000005,2.1972245773362196,3.7206511296155536,6.574760230170914,4.104639395874137
경기 안산시,사동,음식,3,4.0,6.846666666666667,1.3862943611198906,3.9398537795240185,7.250179332592559,4.104539614174735
서울 양천구,신월7동,힐링,2,5.0,8.83,1.0986122886681098,4.03684646850022,7.468688299222187,4.103765314397204
경기 이천시,마장면,문화,2,4.0,9.75,1.0986122886681098,3.9368464685002196,7.560688299222187,4.101846631116912
인천 강화군,하점면,액티비티,6,3.0,5.505,1.9459101490553132,3.6973720570835162,6.864323582685156,4.101665685944483
경기 수원시,평동,액티비티,6,3.0,5.501666666666666,1.9459101490553132,3.6973720570835162,6.863490249351822,4.1013948552843384
경기 남양주시,다산2동,문화,6,2.8333333333333335,5.63,1.9459101490553132,3.6557053904168497,6.895573582685156,4.098564173966465
